"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.01029337051203858002704148,0.00124135585381587449734226,0.16361310576302324,0.05430135265100769,0.1474695781127078089907997,0.5105245983525615,-0.02498779483094501,1,1,3.4,1,1.,0.1,1,0.1,7.419556853011834479275162e-20
0.0100698605106768825099134,0.001185463708752412709197865,0.1609384454271715,0.05321874367401856,0.1477752746470543504521371,0.5104137222015168,-0.024324349977082056,1,1,3.45,1,1.,0.1,1,0.1,3.622255007574029667385876e-19
0.009854124773093129575602144,0.001132797763781808502998773,0.15830919847305647,0.052170934205994585,0.1480768145202315128616927,0.5103041593771682,-0.023687643935520267,1,1,3.5,1,1.,0.1,1,0.1,7.088646028926672022506504e-19
0.0096458056393382389454669,0.001083134666042757021118075,0.15572361562113823,0.05115646986260233,0.1483743995352059930518356,0.5101959759411052,-0.023076250217561312,1,1,3.5500000000000003,1,1.,0.1,1,0.1,1.512811437361559970834415e-19
0.009444563064162439867669027,0.001036265761090932581551699,0.153180085129611,0.05017394831444781,0.1486681847587306972342229,0.5100891700198231,-0.02248883376983949,1,1,3.6,1,1.,0.1,1,0.1,1.104330229465113853523171e-18
0.009250082895458082816540215,0.000992005274316566778349483,0.15067693104707636,0.04922208543354102,0.1489583885701553441641039,0.5099838430792079,-0.02192415275009336,1,1,3.65,1,1.,0.1,1,0.1,2.924188466675434756506318e-20
0.009062058980225244872251543,0.0009501739710179832502205963,0.14821271616602538,0.04829960270764371,0.1492451247372498943968132,0.5098799414665198,-0.021381037631446373,1,1,3.6999999999999997,1,1.,0.1,1,0.1,1.675886035283520348763144e-18
0.008880215263484043700911011,0.0009106165493279309296201506,0.14578583292813563,0.0474053625266153,0.1495286230611635068259117,0.5097775911831902,-0.0208584031795403,1,1,3.75,1,1.,0.1,1,0.1,1.392776146521334359342624e-20
0.00870427783749487888087243,0.0008731793344806826530190529,0.14339497574103988,0.04653820477995382,0.1498089748324310685502867,0.5096767138837346,-0.020355222167349793,1,1,3.8,1,1.,0.1,1,0.1,5.400395629886374692358049e-19
0.008533996022869408682505954,0.0008377271560678446464541852,0.14103872328168665,0.04569708050982433,0.1500863539307924202041965,0.5095773601766425,-0.019870537898583326,1,1,3.85,1,1.,0.1,1,0.1,2.868525853619420525114034e-18
0.008369135213564975757180134,0.0008041364130072676434975553,0.13871565758244186,0.04488100521340593,0.1503609498688882209133995,0.5094796056203695,-0.019403453875568716,1,1,3.9,1,1.,0.1,1,0.1,1.748151630814385817032926e-19
0.008209462394448198716362241,0.0007722848922242761096160735,0.13642462571028258,0.04408897811670451,0.1506328355123436398855946,0.5093833586479627,-0.018953119787634774,1,1,3.9499999999999997,1,1.,0.1,1,0.1,8.111658449285192227373884e-19
0.008054766760277164138514839,0.0007420663739126216271972604,0.13416431666062323,0.04332010560732889,0.1509021806702368124852634,0.5092886730752826,-0.018518743475953295,1,1,4.,1,1.,0.1,1,0.1,1.428582730419617214831066e-18
0.00790484705146973857716444,0.0007133812384932478231368269,0.13193348757093404,0.042573528460982245,0.1511691352347921612784457,0.5091955759395524,-0.018099578473059076,1,1,4.05,1,1.,0.1,1,0.1,1.836084294058899634899571e-19
0.007759508340326712738086537,0.0006861342409949152197675242,0.1297310235045971,0.041848404118303095,0.1514338009629494165235984,0.5091040283094027,-0.01769491889326644,1,1,4.1,1,1.,0.1,1,0.1,5.034615227338987540732935e-21
